"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"383","2950175","50","1","Jamaica Plain","98","moderate","Apartment","1"
"384","5293067","49","0.73","Jamaica Plain","85","strict","House","1"
"387","11912139","60","1","Jamaica Plain","96","strict","Apartment","1"
"388","2933661","85","1","Jamaica Plain","82","moderate","Apartment","1"
"389","1803138","85","0.9","Jamaica Plain","96","flexible","Apartment","1"
"390","11397952","64","1","Jamaica Plain","97","strict","House","1"
"391","50032","725","1","Jamaica Plain","96","strict","Apartment","4"
"392","6390634","75","1","Jamaica Plain","100","moderate","Condominium","1"
"393","6291807","119",NULL,"Jamaica Plain","100","strict","Apartment","2"
"394","1949996","110","1","Jamaica Plain","97","moderate","Apartment","1"
"395","8634599","179","1","Jamaica Plain","83","flexible","House","1"
"396","11370704","175",NULL,"Jamaica Plain","90","flexible","Apartment","2"
"397","1704090","125","1","Jamaica Plain","91","moderate","Apartment","0"
"398","1187188","220","1","Jamaica Plain","96","moderate","Loft","2"
"402","12379725","239","0.97","Mission Hill","90","moderate","Apartment","1"
"403","7225376","75",NULL,"Mission Hill","64","flexible","Apartment","1"
"404","5660081","30","1","Mission Hill","100","moderate","Loft","1"
"405","13968660","45","1","Mission Hill","100","strict","Apartment","1"
"406","1426711","160","1","Mission Hill","83","moderate","Condominium","1"
"409","12320063","55","1","Mission Hill","93","strict","Apartment","1"
"410","4823089","79","0.9","Mission Hill","90","strict","Apartment","1"
"412","5904992","79",NULL,"Mission Hill","92","strict","Apartment","1"
"414","66288","75","1","Mission Hill","78","moderate","Apartment","0"
"416","6629929","105","0.9","Mission Hill","93","moderate","Apartment","1"
"418","4160585","85","1","Mission Hill","99","moderate","House","1"
"419","13391024","110","1","Mission Hill","98","moderate","House","1"
"420","195515","199","0.89","Mission Hill","87","super_strict_30","Apartment","1"
"421","13565466","45","1","Mission Hill","80","flexible","Apartment","1"
"422","130552","269","0.89","Mission Hill","96","super_strict_30","Apartment","2"
"423","5832127","69",NULL,"Mission Hill","75","flexible","Apartment","1"
"425","12517081","45","1","Mission Hill","85","moderate","House","1"
"426","13531200","70","1","Mission Hill","100","moderate","House","1"
"427","11861063","70","1","Mission Hill","86","flexible","House","1"
"429","5453775","99","1","Mission Hill","83","strict","Apartment","1"
"430","12497846","90","1","Mission Hill","84","moderate","Apartment","1"
"431","14137262","80","1","Mission Hill","93","strict","Condominium","1"
"432","5526487","275","1","Mission Hill","95","strict","Apartment","3"
"433","14398508","71","1","Mission Hill","80","flexible","Apartment","1"
"434","1373520","125","1","Mission Hill","92","strict","Apartment","1"
"436","13037372","52","0.88","Mission Hill","95","moderate","Apartment","1"
"437","1471308","70","1","Mission Hill","79","moderate","Apartment","1"
"438","13521713","208","1","Mission Hill","88","moderate","Apartment","1"
"439","848152","399","1","Mission Hill","84","strict","Apartment","2"
"440","7008455","100","0.31","Mission Hill","93","flexible","Apartment","1"
"444","3659917","75",NULL,"Mission Hill","95","strict","Apartment","1"
"446","1092093","115","1","Mission Hill","89","strict","Apartment","1"
"447","10051003","65","0.97","Mission Hill","60","moderate","Apartment","1"
"449","1471373","75","1","Mission Hill","82","moderate","Apartment","1"
"452","13233250","199","0.97","Mission Hill","90","moderate","Apartment","2"
